"","Census_tra","License_Ty","n_stores"
"763",30800,21,4
"764",35300,21,3
"765",35300,20,1
"766",12302,20,1
"767",10300,21,1
"768",16000,20,1
"769",22704,21,1
"770",30800,20,1
"771",13500,20,1
"772",33201,21,2
